,Date/Time,Text,Username,Retweet_Count,Like_Count,Reply_Count
0,2019-09-11 11:25:50+00:00,Adding to the post: The Wall Street Journal has a commercial agreement to supply news through Apple News.,WSJ,6,29,6
1,2012-03-29 20:24:39+00:00,"BREAKING: Outside audit of Apple's supply chain found excessive working hours, health & safety issues at its largest manufacturer.",WSJ,174,13,7
2,2011-08-24 22:41:50+00:00,BREAKING: Steve Jobs Resigns as CEO of Apple,WSJ,1285,17,21
3,2010-10-06 19:47:43+00:00,"@LuluADH Well, it's people who have been briefed by Apple about the plans.",WSJ,0,0,0
4,2010-08-27 18:36:47+00:00,"Companies named in Paul Allen's lawsuit: AOL, Apple, eBay, Facebook, Google, Netflix, Office Depot, OfficeMax, Staples, Yahoo and YouTube.",WSJ,39,7,0
5,2010-04-20 20:40:55+00:00,"Earnings: Apple beats expectations by a wide margin, netting $3.07 billion last quarter on $13.5 billion in revenue.",WSJ,41,5,0
6,2010-04-14 12:40:09+00:00,"Apple will postpone the international launch of the iPad by one month, until the end of May, citing heavy U.S. demand.",WSJ,67,4,0
7,2009-10-19 21:00:44+00:00,"BREAKING NEWS: Apple fourth-quarter profit jumped 47%, to $1.67 billion, as the company sold more Macintosh computers and i..",WSJ,0,5,0
8,2009-10-19 20:31:27+00:00,BREAKING NEWS: Apple reported net quarterly profit of $1.67 billion.,WSJ,0,1,0
9,2009-07-21 20:52:50+00:00,BREAKING NEWS: Apple has third-quarter profit of $1.23 billion on $8.34 billion in revenue. Yahoo's second-quarter net rise..,WSJ,0,2,0
10,2009-04-15 21:57:59+00:00,"The Journal now has an #iPhone #app. iPhone users can download it from the Apple App Store by searching for ""WSJ"".",WSJ,0,9,0
